nome;data_nascimento;area;posicao;formacao;genero;lider;qtd_liderados;custo_mensal
Nicolas Souza;09/10/1986;Marketing;Gerente;Ensino Médio;Masculino;1;14;2817
Davi Lucas Rocha;15/11/1964;Financeiro;Diretor;Tecnólogo;Masculino;0;0;13573
Maria Clara Lopes;26/09/2006;Logística;Diretor;Tecnólogo;Masculino;0;0;6866
Murilo Barros;01/08/1961;Logística;Coordenador;Tecnólogo;Feminino;0;0;3017
Ana Júlia Silva;11/02/1993;Logística;C-level;Mestrado;Masculino;1;32;11409
Sr. Luiz Henrique Jesus;11/07/1989;Vendas;Analista;Tecnólogo;Feminino;0;0;4952
Juan Mendes;05/03/1982;TI;C-level;Fundamental;Feminino;0;0;6403
Thiago Rodrigues;13/12/1991;Vendas;C-level;Mestrado;Feminino;0;0;9727
Srta. Elisa Ferreira;07/07/2006;Operações;Coordenador;Fundamental;Masculino;1;34;17579
João Lucas Oliveira;06/07/1962;RH;Estagiário;Graduação;Feminino;0;0;13202
Maria Vitória Cardoso;13/12/1976;TI;C-level;Mestrado;Masculino;0;0;18161
Luiz Felipe das Neves;17/10/1984;Jurídico;Gerente;Ensino Médio;Feminino;0;0;16989
Bryan Ferreira;12/01/1974;TI;Estagiário;Doutorado;Masculino;0;0;12344
Rafaela Freitas;16/09/1979;TI;Analista;Doutorado;Masculino;0;0;11338
Pietra Cardoso;10/04/1991;Operações;Estagiário;Doutorado;Feminino;0;0;15057
Sra. Cecília Costela;14/12/1967;RH;Diretor;Ensino Médio;Masculino;0;0;11390
Vinicius Nunes;30/07/1988;Financeiro;Assistente;Ensino Médio;Feminino;0;0;18996
Raul Lopes;10/06/1991;Jurídico;C-level;Ensino Médio;Masculino;0;0;13168
Srta. Maria Alice Farias;11/07/1999;RH;Assistente;Tecnólogo;Masculino;1;31;19593
Raquel Mendes;06/01/1966;Logística;Estagiário;Doutorado;Feminino;0;0;10092
Marina Silveira;09/02/1978;Financeiro;C-level;Graduação;Masculino;1;18;17349
Miguel Correia;01/09/1987;Vendas;Gerente;Doutorado;Masculino;1;38;6040
Alícia Santos;02/10/1997;Logística;Estagiário;Tecnólogo;Masculino;0;0;17428
Isis Nogueira;30/01/1979;Marketing;Gerente;Tecnólogo;Masculino;0;0;13695
Diego Farias;07/09/2001;Logística;Analista;Graduação;Masculino;0;0;16893
João Vitor Lopes;29/04/2007;Logística;Assistente;Tecnólogo;Masculino;1;27;15781
Guilherme Cunha;19/04/1983;Jurídico;Coordenador;Mestrado;Masculino;1;40;9598
Mariana da Luz;31/07/2005;Financeiro;Estagiário;Graduação;Masculino;0;0;16803
Elisa Santos;15/07/1990;Marketing;Diretor;Doutorado;Masculino;0;0;19430
Gabriel Silveira;26/10/1975;Produção;Estagiário;Fundamental;Feminino;0;0;9438
Dr. Pedro Henrique Costa;01/07/1984;Jurídico;Estagiário;Tecnólogo;Feminino;0;0;17195
Maria Alice Pinto;04/04/1994;Logística;Coordenador;Graduação;Masculino;0;0;8019
Marcela da Rocha;18/10/1988;Jurídico;Analista;Fundamental;Feminino;1;3;18693
Melissa Novaes;08/05/1975;RH;Analista;Ensino Médio;Feminino;0;0;9511
Valentina Ribeiro;16/09/1962;Logística;Coordenador;Ensino Médio;Feminino;1;34;16819
Rafael da Rosa;18/01/1963;TI;Estagiário;Tecnólogo;Masculino;1;33;3803
Gabriela Pinto;26/02/1974;TI;Coordenador;Tecnólogo;Masculino;1;34;19175
Bryan Ribeiro;25/09/1983;Jurídico;C-level;Fundamental;Masculino;0;0;13721
Dr. Vitor Gabriel da Mata;06/03/1973;TI;Diretor;Ensino Médio;Feminino;0;0;9053
Murilo Aragão;28/02/1968;Marketing;Diretor;Graduação;Feminino;0;0;16376
Kamilly Lopes;11/12/1987;Produção;Diretor;Ensino Médio;Masculino;0;0;12934
Bernardo Silva;15/09/1962;Operações;Diretor;Ensino Médio;Masculino;0;0;12222
Diogo Campos;28/08/1994;Marketing;Assistente;Tecnólogo;Feminino;1;49;4098
Laura Lopes;21/09/2005;Operações;Diretor;Graduação;Masculino;0;0;4487
Luna da Cunha;12/06/2003;Marketing;Diretor;Doutorado;Masculino;0;0;13157
Miguel Moraes;16/01/1990;Operações;C-level;Doutorado;Feminino;0;0;3428
Ana Júlia Cardoso;22/01/1998;RH;Coordenador;Fundamental;Masculino;0;0;2950
Srta. Daniela Costela;05/09/1964;Produção;Coordenador;Ensino Médio;Masculino;0;0;15204
Davi Lucas Fogaça;30/08/1960;Marketing;Diretor;Doutorado;Masculino;0;0;13988
Felipe Rezende;14/08/1988;Operações;Assistente;Ensino Médio;Feminino;0;0;18974
Bianca Viana;01/02/1975;TI;Estagiário;Tecnólogo;Feminino;0;0;10966
Eduardo Costa;25/01/1962;Jurídico;Diretor;Fundamental;Feminino;1;29;14311
Anthony Souza;05/02/1965;Vendas;Estagiário;Graduação;Masculino;1;18;8138
Ana Sophia da Mata;09/04/1997;Financeiro;C-level;Ensino Médio;Feminino;0;0;12827
Sr. Luiz Otávio Barros;04/03/1983;Financeiro;Diretor;Graduação;Masculino;0;0;17927
Gustavo Campos;22/01/2000;Produção;Estagiário;Fundamental;Feminino;0;0;12229
Sofia Lopes;13/06/1998;Vendas;C-level;Graduação;Feminino;1;13;11453
Samuel da Mota;08/08/1998;Financeiro;Gerente;Fundamental;Feminino;0;0;6068
Mariane da Mata;13/10/1982;Operações;Gerente;Ensino Médio;Feminino;0;0;3441
Breno Araújo;15/01/2002;Logística;Assistente;Doutorado;Masculino;0;0;14171
Lavínia Lopes;11/02/1990;Financeiro;C-level;Doutorado;Feminino;0;0;14640
Enzo Gabriel Souza;18/11/1998;Jurídico;Analista;Ensino Médio;Masculino;0;0;16269
Sra. Isabelly Caldeira;25/01/1969;Logística;Coordenador;Tecnólogo;Feminino;0;0;6779
Enzo Gabriel da Cunha;13/09/1985;TI;C-level;Graduação;Masculino;1;12;17994
Samuel da Costa;14/05/1966;Marketing;C-level;Fundamental;Feminino;0;0;17282
Eloah Pires;21/08/2003;Logística;Analista;Ensino Médio;Feminino;0;0;2557
Esther Cavalcanti;18/01/1971;Marketing;Coordenador;Tecnólogo;Masculino;0;0;6244
Augusto Campos;29/05/1983;Jurídico;Estagiário;Mestrado;Masculino;0;0;17041
João Lucas Sales;27/09/1964;Marketing;Estagiário;Doutorado;Feminino;1;49;9792
Antônio Peixoto;04/06/1964;Produção;Coordenador;Graduação;Masculino;0;0;9163
Davi Luiz Rodrigues;20/12/1972;Financeiro;Diretor;Doutorado;Feminino;0;0;18189
Maria Alice Almeida;16/08/1989;Financeiro;Coordenador;Fundamental;Masculino;0;0;3540
Helena Gomes;03/10/2002;Marketing;Estagiário;Doutorado;Feminino;1;32;16789
Ana Clara Lopes;25/11/1968;Vendas;Diretor;Doutorado;Feminino;0;0;3791
Sr. Leonardo Castro;28/03/1985;TI;C-level;Doutorado;Feminino;0;0;7014
Rebeca Fogaça;06/05/1968;Marketing;Analista;Fundamental;Feminino;0;0;17554
Júlia da Paz;22/02/1987;Produção;Coordenador;Tecnólogo;Masculino;0;0;8004
Isabel Santos;17/02/1961;TI;Assistente;Ensino Médio;Masculino;0;0;8170
Isaac das Neves;03/11/1962;Vendas;Assistente;Tecnólogo;Masculino;0;0;19017
Srta. Juliana Almeida;29/03/2004;Marketing;C-level;Doutorado;Feminino;0;0;19450
Bianca Gonçalves;23/01/2003;Operações;C-level;Ensino Médio;Feminino;0;0;11235
Dr. Nathan da Mata;19/05/1975;RH;Gerente;Graduação;Feminino;0;0;6867
Calebe Alves;16/09/1976;Produção;Diretor;Mestrado;Feminino;0;0;11299
Emanuelly Peixoto;20/09/1989;RH;Diretor;Mestrado;Feminino;0;0;11817
Pietro da Conceição;19/05/1987;Jurídico;Diretor;Fundamental;Feminino;0;0;17868
Sra. Amanda Castro;05/03/1996;Vendas;Estagiário;Mestrado;Feminino;0;0;7696
Ana Nunes;16/11/1974;Jurídico;Coordenador;Doutorado;Feminino;1;36;13681
Ian Araújo;06/09/1991;TI;Gerente;Fundamental;Masculino;1;16;14370
João Pedro Correia;10/06/1949;Produção;C-level;Doutorado;Masculino;1;42;14152
Enrico Silveira;10/06/1960;TI;Coordenador;Graduação;Masculino;1;33;17344
Gustavo Viana;16/01/1969;Produção;C-level;Tecnólogo;Masculino;0;0;9570
André Rocha;10/11/2005;Vendas;Assistente;Graduação;Feminino;0;0;18682
Maitê Nunes;11/03/1992;Financeiro;Estagiário;Ensino Médio;Masculino;0;0;13432
Lucas Oliveira;02/03/2001;Marketing;Coordenador;Graduação;Masculino;0;0;16406
Gabriel Teixeira;01/05/1971;TI;Assistente;Mestrado;Feminino;0;0;7623
Maria Fernanda Correia;22/03/1966;Vendas;Estagiário;Graduação;Masculino;0;0;6552
Gabriela Novaes;04/03/1990;Financeiro;Estagiário;Doutorado;Masculino;0;0;15710
Carolina Melo;23/11/2002;Vendas;C-level;Doutorado;Feminino;0;0;16545
Bianca Correia;23/05/1981;Jurídico;Diretor;Fundamental;Feminino;1;17;11212
Maria Eduarda Correia;19/01/2005;TI;C-level;Ensino Médio;Masculino;0;0;12514
Evelyn Rezende;10/09/1986;Jurídico;Gerente;Tecnólogo;Masculino;1;26;4911
André Mendes;16/05/2004;Produção;Analista;Tecnólogo;Masculino;0;0;17190
Leonardo Porto;07/02/1986;Vendas;Estagiário;Fundamental;Feminino;0;0;5173
Henrique Pires;15/04/1985;Marketing;C-level;Fundamental;Feminino;0;0;4086
Rodrigo Sales;20/12/1992;Vendas;Analista;Doutorado;Feminino;0;0;4991
Bianca Silva;20/12/1994;Produção;Coordenador;Mestrado;Feminino;0;0;3517
Luna da Paz;01/03/1973;Operações;Diretor;Ensino Médio;Masculino;1;19;8076
Pedro Miguel Porto;16/02/1969;Vendas;Gerente;Doutorado;Feminino;0;0;11026
Ana Luiza Barbosa;20/07/2006;Produção;Diretor;Mestrado;Masculino;0;0;9929
Sr. Noah Lopes;27/10/1985;Financeiro;Analista;Fundamental;Feminino;0;0;2534
Bryan Lima;08/09/2006;Operações;Coordenador;Graduação;Feminino;0;0;17588
Brenda Pires;21/11/1998;RH;Coordenador;Doutorado;Feminino;1;43;5898
Rebeca Pereira;15/05/1973;RH;Diretor;Fundamental;Masculino;0;0;15290
Ana Sophia Rodrigues;29/05/2002;RH;Coordenador;Mestrado;Feminino;0;0;11754
Sr. Luigi Lima;19/01/1978;Vendas;Assistente;Graduação;Feminino;0;0;10763
Sra. Eloah Silveira;01/05/1978;Financeiro;Coordenador;Mestrado;Masculino;0;0;16491
Davi Lucas Melo;18/11/1995;Jurídico;Coordenador;Mestrado;Feminino;0;0;17481
Bárbara Monteiro;30/01/1990;Jurídico;Analista;Fundamental;Feminino;0;0;8881
Brenda Martins;10/01/1993;Operações;Analista;Doutorado;Masculino;0;0;19651
Isabelly Carvalho;31/10/1972;RH;Analista;Tecnólogo;Masculino;0;0;8459
Dr. Cauê Dias;07/04/2007;Financeiro;Estagiário;Ensino Médio;Masculino;0;0;16373
Thales Vieira;25/11/1962;RH;Estagiário;Fundamental;Masculino;0;0;3701
Dr. Luigi Aragão;18/12/1963;Jurídico;Gerente;Tecnólogo;Masculino;1;13;16416
Enzo Gabriel Porto;05/07/1980;Vendas;Gerente;Ensino Médio;Feminino;0;0;6289
Sophia Correia;16/07/2001;Produção;Diretor;Fundamental;Masculino;0;0;9950
Isaac da Rocha;15/01/1960;Vendas;C-level;Graduação;Masculino;0;0;13661
Vitor Gabriel Novaes;14/09/1974;RH;C-level;Ensino Médio;Feminino;0;0;17294
Ana Laura Aragão;21/04/2003;TI;Assistente;Tecnólogo;Feminino;1;18;19786
Sr. Breno da Paz;04/12/1976;TI;Coordenador;Graduação;Feminino;0;0;14589
Daniel Caldeira;13/07/1980;Jurídico;Estagiário;Fundamental;Feminino;0;0;9932
Sophie Porto;19/02/1997;RH;Diretor;Doutorado;Feminino;1;44;4357
Isabella Duarte;23/08/2000;Jurídico;Gerente;Doutorado;Feminino;1;36;16249
Maysa Porto;25/05/1970;TI;Coordenador;Graduação;Masculino;0;0;12528
Eloah Silva;29/10/1987;Jurídico;Analista;Ensino Médio;Feminino;0;0;18182
João Gabriel Costa;12/07/1982;Jurídico;C-level;Tecnólogo;Feminino;1;12;8305
Vitor Jesus;15/01/1969;Jurídico;Analista;Tecnólogo;Feminino;0;0;6847
Miguel da Mota;02/11/2004;Vendas;Gerente;Graduação;Feminino;0;0;7210
Clarice Moraes;04/09/1984;Produção;Diretor;Graduação;Feminino;0;0;14340
Gabriel Mendes;30/06/1962;Financeiro;Coordenador;Graduação;Feminino;0;0;19434
Maria Cecília Caldeira;24/02/2004;Marketing;Assistente;Mestrado;Feminino;0;0;3113
Vicente Dias;06/10/1965;TI;Analista;Tecnólogo;Masculino;0;0;10091
Evelyn Oliveira;20/08/2001;Operações;Analista;Mestrado;Feminino;0;0;11842
Isabel Novaes;27/12/1976;Marketing;Analista;Graduação;Masculino;0;0;14792
Ian Aragão;11/10/1996;Produção;C-level;Graduação;Feminino;0;0;10788
Elisa da Rocha;31/08/1987;Jurídico;Diretor;Ensino Médio;Masculino;0;0;13098
Gabrielly da Paz;15/04/2004;RH;Assistente;Tecnólogo;Feminino;0;0;16922
Otávio Cardoso;30/12/1969;Logística;Analista;Graduação;Masculino;1;39;16822
Maria da Luz;27/04/1988;Marketing;Assistente;Graduação;Masculino;0;0;10357
Raul Gonçalves;24/10/1996;Jurídico;Gerente;Doutorado;Masculino;0;0;11000
Pedro Santos;04/09/1966;Vendas;Assistente;Tecnólogo;Feminino;0;0;11291
Carolina Nunes;10/03/1975;TI;Assistente;Tecnólogo;Feminino;0;0;2000
Sarah Ribeiro;20/11/1977;TI;Analista;Ensino Médio;Masculino;0;0;15870
Pedro Henrique Pereira;16/04/1997;Marketing;Assistente;Graduação;Feminino;1;44;15348
Dr. Nathan Campos;18/04/1980;Logística;C-level;Tecnólogo;Feminino;0;0;4518
Miguel Lopes;18/07/2005;RH;C-level;Ensino Médio;Feminino;0;0;17110
Nina Teixeira;08/03/1980;Produção;Gerente;Mestrado;Feminino;1;36;9299
Juliana Oliveira;07/07/2002;Logística;Diretor;Doutorado;Masculino;0;0;17830
Olivia Ferreira;31/03/2003;TI;Coordenador;Graduação;Masculino;0;0;16135
Leandro Duarte;11/05/1984;Jurídico;Coordenador;Mestrado;Feminino;0;0;11779
Sarah Vieira;23/09/1984;Operações;Diretor;Ensino Médio;Feminino;0;0;3403
Dr. João Miguel Peixoto;16/07/1993;Logística;Coordenador;Fundamental;Feminino;0;0;17744
Sr. Vitor Gabriel Freitas;29/01/1984;Jurídico;Gerente;Ensino Médio;Feminino;1;13;9074
Isis Costa;15/09/1983;Financeiro;Estagiário;Graduação;Masculino;0;0;16589
Dra. Natália Gonçalves;27/03/1977;TI;Analista;Graduação;Feminino;0;0;13741
Ian Vieira;01/01/2005;RH;Estagiário;Graduação;Masculino;1;34;12397
Amanda da Mata;10/01/1990;Produção;Diretor;Mestrado;Feminino;0;0;10652
Pedro Lucas Moraes;13/09/1980;Logística;Estagiário;Graduação;Feminino;0;0;9154
Rebeca Caldeira;07/02/1996;Financeiro;Estagiário;Mestrado;Feminino;0;0;2159
Luiz Felipe Farias;09/04/1995;Logística;Analista;Graduação;Masculino;0;0;3811
Gabriela Azevedo;22/04/1993;Jurídico;Gerente;Graduação;Masculino;0;0;19422
Sra. Caroline Correia;20/12/2001;Vendas;C-level;Doutorado;Feminino;0;0;17674
Raul Duarte;09/11/2001;Operações;Assistente;Doutorado;Feminino;1;47;13464
Emilly Monteiro;17/11/2000;RH;Gerente;Mestrado;Feminino;0;0;14094
Sophia Sales;26/08/2003;Vendas;Gerente;Tecnólogo;Feminino;0;0;12370
Enzo da Luz;26/07/1960;Marketing;Coordenador;Tecnólogo;Masculino;0;0;17423
Rebeca Moura;21/07/2004;TI;Assistente;Tecnólogo;Feminino;0;0;8531
Sr. Luiz Otávio da Cruz;15/10/1995;Produção;Coordenador;Tecnólogo;Feminino;0;0;6711
Alice da Rosa;29/03/1966;Financeiro;Analista;Tecnólogo;Feminino;0;0;9051
Thiago da Conceição;23/04/2006;Jurídico;Estagiário;Graduação;Feminino;0;0;14739
Mariana Cardoso;15/07/1994;Vendas;Assistente;Tecnólogo;Feminino;0;0;13462
Eduardo Pereira;21/09/1971;Marketing;Gerente;Ensino Médio;Masculino;0;0;8813
Breno Cunha;14/01/1971;Logística;Diretor;Fundamental;Masculino;0;0;17654
Thiago Souza;15/01/1985;Vendas;Gerente;Ensino Médio;Masculino;0;0;7099
Rodrigo Dias;09/04/1992;Financeiro;Estagiário;Doutorado;Masculino;0;0;12574
João Lucas Peixoto;28/04/1998;Logística;Assistente;Tecnólogo;Feminino;0;0;9637
Isabel Ribeiro;20/12/1992;TI;Gerente;Fundamental;Masculino;1;20;2825
Igor Jesus;12/04/2007;Produção;Coordenador;Graduação;Masculino;1;6;6177
Sophia Rodrigues;07/09/1974;RH;Gerente;Ensino Médio;Feminino;0;0;13556
Sophie Ferreira;17/06/2001;Financeiro;Estagiário;Doutorado;Feminino;0;0;9481
Maria Sophia Ramos;18/12/1985;Produção;Assistente;Ensino Médio;Masculino;0;0;13381
Sophia da Rosa;15/08/1998;TI;C-level;Ensino Médio;Masculino;1;2;4449
Lavínia da Rocha;23/02/1999;RH;Gerente;Mestrado;Feminino;0;0;4960
Bianca Silveira;23/06/1972;TI;Analista;Graduação;Feminino;1;22;7096
Luiz Miguel Melo;15/03/1963;Jurídico;Analista;Mestrado;Feminino;0;0;10337
Vitória Gomes;05/07/1984;Jurídico;Gerente;Graduação;Masculino;1;49;3734
Fernanda Costa;26/10/1975;Operações;Estagiário;Fundamental;Masculino;0;0;19829
Cecília Aragão;17/05/1968;Logística;Coordenador;Graduação;Masculino;0;0;9838
Srta. Clarice Ribeiro;27/10/1999;Operações;Gerente;Fundamental;Feminino;0;0;7180
Vicente das Neves;02/08/1968;Vendas;C-level;Doutorado;Masculino;0;0;6989
Dra. Cecília Campos;03/06/1970;Jurídico;Analista;Ensino Médio;Masculino;0;0;13396
Evelyn Lopes;31/07/1989;Marketing;Diretor;Doutorado;Masculino;0;0;17979
Olivia Mendes;12/06/2006;Jurídico;Analista;Tecnólogo;Masculino;0;0;3404
Daniela Pereira;16/08/1970;Jurídico;Estagiário;Fundamental;Feminino;0;0;13150
Ana Carolina da Cunha;18/09/1983;Jurídico;Assistente;Fundamental;Masculino;1;25;9426
Bryan Azevedo;23/09/1969;Financeiro;C-level;Tecnólogo;Feminino;0;0;18721
Noah Costa;08/03/1963;Logística;Gerente;Ensino Médio;Masculino;0;0;6365
Dr. Luiz Fernando Rodrigues;03/02/1974;Financeiro;Gerente;Fundamental;Feminino;1;39;6275
Rafael Gonçalves;01/05/1973;Logística;Estagiário;Mestrado;Masculino;0;0;18775
Enzo Gabriel Caldeira;10/06/1974;Financeiro;Analista;Doutorado;Masculino;0;0;17662
Ana Vitória Rocha;31/07/1966;Jurídico;Assistente;Graduação;Masculino;0;0;10713
Luiz Fernando Martins;27/11/1984;Vendas;Diretor;Graduação;Feminino;0;0;19326
Antônio Melo;12/06/1976;Logística;Estagiário;Fundamental;Masculino;0;0;6865
Eduardo Souza;22/12/1961;TI;Diretor;Ensino Médio;Feminino;1;38;19823
Gustavo da Cunha;29/03/1982;Logística;Estagiário;Doutorado;Masculino;0;0;6717
Carlos Eduardo Azevedo;27/10/1949;Logística;Analista;Tecnólogo;Masculino;1;49;17074
Clarice Costa;30/09/2002;Produção;Gerente;Ensino Médio;Feminino;0;0;9563
Vitória Correia;11/08/1977;Jurídico;Diretor;Doutorado;Masculino;0;0;7185
Srta. Bianca Araújo;30/06/1974;Jurídico;C-level;Doutorado;Masculino;0;0;13430
Benício Moura;08/10/1966;Vendas;Analista;Graduação;Masculino;0;0;16339
Luiz Gustavo Oliveira;02/12/1981;RH;Assistente;Tecnólogo;Masculino;0;0;15973
Dr. Lucas Gabriel da Mata;27/08/1974;Vendas;Analista;Tecnólogo;Feminino;0;0;7653
Caroline da Luz;12/12/1985;Marketing;Estagiário;Graduação;Masculino;0;0;4388
Cauê Melo;08/07/1984;Operações;Coordenador;Fundamental;Feminino;1;7;19062
Sr. Nicolas Lima;29/04/1965;TI;Estagiário;Fundamental;Feminino;0;0;9514
Marcela Oliveira;23/09/1949;Logística;Estagiário;Graduação;Masculino;1;9;2815
João das Neves;12/05/2001;Logística;Coordenador;Tecnólogo;Feminino;0;0;4437
Henrique Alves;29/08/1961;Logística;Gerente;Fundamental;Feminino;0;0;12919
Eduardo Lima;13/01/1961;Marketing;Analista;Mestrado;Masculino;0;0;4319
Eloah da Cruz;01/12/1974;Jurídico;Assistente;Graduação;Masculino;0;0;6919
Diogo Novaes;14/04/1992;Financeiro;Estagiário;Doutorado;Feminino;0;0;10651
Marcos Vinicius Azevedo;25/01/1995;Jurídico;Estagiário;Tecnólogo;Masculino;0;0;9759
Leonardo da Luz;21/07/1967;Logística;Assistente;Doutorado;Feminino;0;0;15847
Srta. Heloísa Alves;21/03/2000;Logística;Gerente;Doutorado;Feminino;1;41;12688
Alexia da Rosa;02/05/1972;Jurídico;Gerente;Graduação;Feminino;0;0;8247
Rodrigo Correia;24/04/1976;TI;Estagiário;Graduação;Feminino;0;0;16789
Rafaela Souza;25/10/2006;Operações;Diretor;Doutorado;Feminino;0;0;12313
Renan Sales;14/07/2003;Produção;Diretor;Fundamental;Masculino;0;0;10584
Sra. Maysa Lopes;12/07/1987;RH;Coordenador;Doutorado;Masculino;0;0;11369
Laura da Conceição;14/01/1975;Logística;Gerente;Graduação;Feminino;0;0;10584
Maria Clara da Mata;29/05/1983;RH;Gerente;Fundamental;Masculino;0;0;12500
Isabel Cardoso;01/02/1960;Financeiro;Gerente;Tecnólogo;Feminino;0;0;14866
Dr. Pedro Lucas Lopes;19/08/1989;Produção;Diretor;Mestrado;Feminino;0;0;3235
Maria Cecília Nogueira;19/03/1983;Marketing;Coordenador;Tecnólogo;Feminino;0;0;19156
Helena Cardoso;18/07/2000;TI;Coordenador;Tecnólogo;Masculino;0;0;17456
Vinicius Vieira;25/04/1965;Operações;C-level;Graduação;Masculino;0;0;18222
Gustavo da Mata;09/01/1997;Produção;Gerente;Mestrado;Feminino;0;0;6910
Sra. Evelyn Moura;12/11/2001;Financeiro;Gerente;Tecnólogo;Feminino;0;0;15699
Maria da Rocha;15/04/1977;Operações;C-level;Mestrado;Feminino;0;0;9833
Bruno Correia;21/10/1997;Logística;C-level;Ensino Médio;Feminino;1;24;15554
Nathan da Mota;19/05/1962;Produção;Coordenador;Mestrado;Feminino;0;0;17288
Thales da Paz;10/11/1986;Financeiro;Estagiário;Ensino Médio;Masculino;0;0;19176
Yuri Alves;19/10/1974;Marketing;C-level;Fundamental;Masculino;0;0;12787
Breno Fogaça;09/12/1960;TI;Diretor;Doutorado;Feminino;1;16;19556
Dr. Henrique Cavalcanti;21/09/1949;TI;Analista;Graduação;Masculino;0;0;9823
Lavínia Moraes;16/08/1969;TI;Gerente;Fundamental;Feminino;0;0;7868
Luiz Gustavo Fernandes;01/12/2006;Marketing;Gerente;Graduação;Feminino;0;0;17264
Letícia Ramos;25/12/1973;Jurídico;Coordenador;Ensino Médio;Feminino;1;31;18844
Luiz Gustavo da Costa;24/12/2005;Marketing;Assistente;Tecnólogo;Masculino;0;0;6909
Stephany Mendes;24/01/2000;Vendas;Analista;Fundamental;Masculino;0;0;7211
Srta. Maria Fernanda Alves;05/06/1960;Operações;C-level;Tecnólogo;Feminino;0;0;19725
Samuel Cardoso;23/04/2001;TI;Gerente;Tecnólogo;Masculino;0;0;16878
Sra. Isabel Rezende;24/09/1987;Jurídico;Assistente;Tecnólogo;Feminino;0;0;17675
Lucas Gonçalves;21/07/1970;Financeiro;Diretor;Mestrado;Masculino;0;0;14059
Rafaela Rodrigues;24/07/1992;Marketing;Assistente;Doutorado;Masculino;0;0;8835
Catarina Farias;31/12/1990;Operações;Estagiário;Doutorado;Feminino;0;0;8030
Sophie Moura;12/06/1975;RH;C-level;Fundamental;Masculino;0;0;16747
Sarah Peixoto;21/11/1981;Produção;C-level;Doutorado;Masculino;1;7;15920
Dr. Davi Luiz da Cunha;27/05/1986;RH;Coordenador;Graduação;Masculino;0;0;5183
Cauã Alves;14/04/1971;Operações;Coordenador;Mestrado;Masculino;0;0;8373
Lorenzo da Cruz;12/11/1975;Operações;Estagiário;Doutorado;Masculino;1;33;14265
Raquel da Mota;22/01/1967;Operações;C-level;Mestrado;Masculino;0;0;8424
Igor Lima;20/01/1981;TI;Assistente;Doutorado;Feminino;0;0;14792
Luiza da Cruz;03/04/1987;Operações;Analista;Graduação;Feminino;0;0;2275
Dr. Juan da Cruz;22/06/1976;Logística;Assistente;Fundamental;Feminino;0;0;10672
Julia Rocha;14/11/2004;Jurídico;C-level;Doutorado;Masculino;0;0;12375
Agatha das Neves;12/09/1995;Operações;C-level;Doutorado;Feminino;0;0;9791
Marcos Vinicius Castro;24/07/1997;Logística;Coordenador;Ensino Médio;Masculino;0;0;5269
Dra. Emilly Nascimento;07/06/2000;TI;Analista;Tecnólogo;Feminino;0;0;17754
Maria Clara das Neves;05/07/1988;Financeiro;Estagiário;Fundamental;Feminino;0;0;10103
Dr. Joaquim Moraes;20/04/1967;RH;Assistente;Mestrado;Masculino;0;0;3878
Vicente Moreira;27/04/1979;Logística;Gerente;Tecnólogo;Masculino;0;0;6167
Henrique Farias;27/08/1994;Operações;C-level;Mestrado;Masculino;1;23;15653
Nicole Costela;30/09/1999;Marketing;Estagiário;Graduação;Masculino;0;0;15275
Lucca Oliveira;20/11/2003;Financeiro;Coordenador;Graduação;Masculino;0;0;14510
Igor Moraes;29/01/1978;RH;Estagiário;Graduação;Feminino;0;0;16586
Luiz Felipe Porto;21/09/1963;Jurídico;Analista;Fundamental;Masculino;0;0;19955
Sophie Moraes;29/07/1972;Jurídico;Coordenador;Doutorado;Masculino;0;0;15568
Yasmin Carvalho;04/08/1973;Operações;Gerente;Ensino Médio;Masculino;0;0;18020
Maria Fernanda Ribeiro;30/01/1997;Operações;Coordenador;Doutorado;Feminino;0;0;14329
Dra. Isadora Viana;21/12/1988;TI;Coordenador;Tecnólogo;Masculino;0;0;2389
Davi Lucca Rodrigues;19/07/1973;Jurídico;Assistente;Mestrado;Feminino;0;0;3834
Lucas Gabriel Peixoto;13/09/1965;TI;Coordenador;Tecnólogo;Masculino;0;0;19285
Marcos Vinicius Nascimento;19/05/1981;Logística;Coordenador;Fundamental;Feminino;0;0;9488
Anthony Ferreira;18/02/1991;Jurídico;Coordenador;Tecnólogo;Feminino;0;0;18519
Benício Novaes;15/08/1995;Financeiro;Analista;Mestrado;Masculino;0;0;18742
Ana Beatriz Dias;24/09/1963;Logística;Diretor;Mestrado;Feminino;0;0;10481
Srta. Ana Lima;09/07/1997;Operações;Estagiário;Mestrado;Masculino;1;36;19984
Lavínia Jesus;10/10/1999;Vendas;Coordenador;Ensino Médio;Feminino;0;0;9849
Sofia Novaes;18/03/1973;Logística;Diretor;Mestrado;Feminino;0;0;15027
Igor Azevedo;18/08/2004;Logística;Coordenador;Tecnólogo;Masculino;0;0;10902
Beatriz Pereira;22/08/1997;Vendas;Coordenador;Fundamental;Feminino;1;3;16197
Maria Vitória Teixeira;07/03/1985;Marketing;Analista;Graduação;Masculino;0;0;7884
Maysa Cardoso;03/07/1991;RH;Analista;Doutorado;Feminino;1;42;8695
Carolina da Cunha;03/10/1983;Jurídico;Gerente;Fundamental;Masculino;0;0;11815
Eloah Vieira;10/02/1960;Marketing;Coordenador;Graduação;Feminino;0;0;14472
Srta. Alice Farias;19/03/1961;Jurídico;Assistente;Ensino Médio;Masculino;1;11;14445
